Organism	Kingdom	Group	SubGroup	Size(Mb)	GC%	Genes	Proteins
bacterium JGI-10	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	1.56675	37.3	1560	1528
bacterium JGI-11	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	2.22739	37.4	2159	2114
bacterium JGI-12	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	2.08499	37.4	2107	2062
bacterium JGI-13	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	2.24423	37.3	2219	2175
bacterium JGI-14	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	2.15011	37.3	2144	2104
bacterium JGI-15	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	1.97208	37.4	1940	1900
bacterium JGI-16	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	1.52906	37.2	1644	1612
bacterium JGI-17	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	0.842126	37.3	977	956
bacterium JGI-2	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	1.60454	36.6	1659	1624
bacterium JGI-20	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	1.69728	36.4	1663	1632
bacterium JGI-22	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	0.527169	36.4	562	545
bacterium JGI-23	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	2.07011	36.4	1980	1930
bacterium JGI-24	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	1.80106	36.4	1839	1802
bacterium JGI-25	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	1.66664	36.4	1676	1639
bacterium JGI-3	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	2.68069	36.4	2405	2353
bacterium JGI-4	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	2.59269	37.4	2353	2301
bacterium JGI-5	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	2.19934	37.4	2085	2046
bacterium JGI-6	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	2.1249	37.4	2054	2013
bacterium JGI-7	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	2.44641	37.4	2329	2283
bacterium JGI-8	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	2.3487	37.4	2211	2162
bacterium JGI-9	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	2.00058	37.3	2053	2009
bacterium JKG1	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	4.47526	65.8	3879	3714
bacterium L21-Spi-D4	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	4.81239	39.0	3884	3777
bacterium LF-3	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	2.93114	29.8	2940	2776
bacterium MS4	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	3.73772	51.3	3575	3446
bacterium OL-1	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	2.45358	62.7	2177	2056
bacterium P201	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	3.03252	50.0	2755	2755
bacterium P3	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	3.03953	52.5	2777	2777
bacterium SIT5	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	2.78464	35.2	0	0
bacterium SIT7	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	2.93426	70.4	2705	2530
bacterium SIT8	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	2.82472	37.0	2358	2272
bacterium SM23_31	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	2.82133	40.3	2566	2295
bacterium SM23_57	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	2.32037	46.4	2126	1860
bacterium T1.1	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	1.01568	44.0	0	0
bacterium T1.2	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	1.24694	44.3	0	0
bacterium T2.1	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	1.0923	28.7	0	0
bacterium UASB14	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	7.14716	50.5	5977	5659
bacterium UASB270	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	8.38469	47.2	6852	6694
bacterium UW 659-2-F09	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	0.427235	56.7	0	0
bacterium YEK0313	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	7.42897	68.4	0	0
bacterium endosymbiont of Mortierella elongata FMR23-6	Bacteria	Proteobacteria	Betaproteobacteria	2.79538	48.8	2311	2136
bacterium mt3	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)	3.75574	50.9	3389	3238
beta proteobacterium AAP121	Bacteria	Proteobacteria	Betaproteobacteria	4.83781	69.5	4266	4059
beta proteobacterium AAP51	Bacteria	Proteobacteria	Betaproteobacteria	5.10412	69.7	4368	4162
beta proteobacterium AAP65	Bacteria	Proteobacteria	Betaproteobacteria	4.84319	69.6	4220	4085
beta proteobacterium AAP99	Bacteria	Proteobacteria	Betaproteobacteria	3.85852	65.4	3472	3329
beta proteobacterium CB	Bacteria	Proteobacteria	Betaproteobacteria	2.04572	46.1	2079	2021
beta proteobacterium FWI2	Bacteria	Proteobacteria	Betaproteobacteria	7.33421	63.5	7227	6029
beta proteobacterium JGI 0001001-A11	Bacteria	Proteobacteria	Betaproteobacteria	4.66374	63.6	0	0
beta proteobacterium JGI 0001003-N18	Bacteria	Proteobacteria	Betaproteobacteria	0.150727	60.9	0	0
beta proteobacterium JGI 0001013-N12	Bacteria	Proteobacteria	Betaproteobacteria	0.229348	63.7	0	0
beta proteobacterium KB13	Bacteria	Proteobacteria	Betaproteobacteria	1.33433	35.4	1406	1356
beta proteobacterium L13	Bacteria	Proteobacteria	Betaproteobacteria	3.76537	61.3	3529	3420
beta proteobacterium SCGC AAA024-K11	Bacteria	Proteobacteria	Betaproteobacteria	0.149624	51.0	0	0
beta proteobacterium SCGC AAA027-C02	Bacteria	Proteobacteria	Betaproteobacteria	1.29754	43.7	0	0
beta proteobacterium SCGC AAA027-I06	Bacteria	Proteobacteria	Betaproteobacteria	1.61364	50.9	0	0
beta proteobacterium SCGC AAA027-K21	Bacteria	Proteobacteria	Betaproteobacteria	2.25637	50.9	0	0
beta proteobacterium SCGC AAA028-K02	Bacteria	Proteobacteria	Betaproteobacteria	0.729926	39.2	0	0
butyrate-producing bacterium SM4/1	Bacteria	Terrabacteria group	Firmicutes	3.10887	49.8	1715	1684
butyrate-producing bacterium SS3/4	Bacteria	Terrabacteria group	Firmicutes	3.60102	48.2	3051	2993
candidate division BRC1 bacterium SM23_51	Bacteria	unclassified Bacteria	Bacteria candidate phyla	2.76453	59.8	2417	2062
candidate division CPR1 bacterium GW2011_GWA2_42_17	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.691409	42.1	700	698
candidate division CPR1 bacterium GW2011_GWC1_49_13	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.541715	50.2	606	606
candidate division CPR2 bacterium GW2011_GWC1_39_9	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.07193	38.3	1131	1131
candidate division CPR2 bacterium GW2011_GWC1_41_48	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.11713	39.1	1116	1116
candidate division CPR2 bacterium GW2011_GWC2_39_10	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.09893	38.3	1125	1124
candidate division CPR2 bacterium GW2011_GWC2_39_35	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.12397	39.1	1125	1125
candidate division CPR2 bacterium GW2011_GWD1_39_7	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.681366	38.4	783	782
candidate division CPR2 bacterium GW2011_GWD2_39_7	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.07668	39.0	1140	1138
candidate division CPR3 bacterium GW2011_GWE2_35_7	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.7543	34.3	781	780
candidate division CPR3 bacterium GW2011_GWF2_35_18	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.13628	35.0	1064	1062
candidate division KD3-62 bacterium DG_56	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.23897	64.9	1139	990
candidate division Kazan bacterium GW2011_GWA1_44_22	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.343032	44.5	340	335
candidate division Kazan bacterium GW2011_GWA1_50_15	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.602646	51.8	595	591
candidate division Kazan bacterium GW2011_GWB1_45_10	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.208884	45.0	197	196
candidate division Kazan bacterium GW2011_GWB1_52_7	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.711474	51.8	728	723
candidate division Kazan bacterium GW2011_GWC1_52_13	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.760397	51.7	756	752
candidate division NC10 bacterium CSP1-5	Bacteria	unclassified Bacteria	Bacteria candidate phyla	2.7675	62.4	2884	2837
candidate division SR1 bacterium Aalborg_AAW-1	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.04476	33.3	1035	993
candidate division SR1 bacterium MGEHA	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.10971	35.7	0	0
candidate division SR1 bacterium RAAC1_SR1_1	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.17776	31.1	1089	1049
candidate division TA06 bacterium 32_111	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.86183	31.7	1769	1769
candidate division TA06 bacterium 34_109	Bacteria	unclassified Bacteria	Bacteria candidate phyla	2.11888	32.2	2014	2014
candidate division TA06 bacterium DG_24	Bacteria	unclassified Bacteria	Bacteria candidate phyla	2.32372	60.6	1977	1729
candidate division TA06 bacterium DG_26	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.67682	52.1	1589	1384
candidate division TA06 bacterium DG_78	Bacteria	unclassified Bacteria	Bacteria candidate phyla	2.09051	40.1	1986	1775
candidate division TA06 bacterium SM1_40	Bacteria	unclassified Bacteria	Bacteria candidate phyla	2.55945	60.3	2252	1971
candidate division TA06 bacterium SM23_40	Bacteria	unclassified Bacteria	Bacteria candidate phyla	2.88309	60.3	2496	2192
candidate division TM6 bacterium GW2011_GWA2_36_9	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.10971	36.0	1136	1134
candidate division TM6 bacterium GW2011_GWE2_31_21	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.08274	31.8	979	977
candidate division TM6 bacterium GW2011_GWE2_36_25	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.0702	36.0	1071	1069
candidate division TM6 bacterium GW2011_GWE2_41_16	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.940304	41.2	856	854
candidate division TM6 bacterium GW2011_GWE2_42_60	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.13881	41.8	941	939
candidate division TM6 bacterium GW2011_GWF2_28_16	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.06232	36.0	953	953
candidate division TM6 bacterium GW2011_GWF2_30_66	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.1137	30.5	934	932
candidate division TM6 bacterium GW2011_GWF2_32_72	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.987212	32.7	883	881
candidate division TM6 bacterium GW2011_GWF2_33_332	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.60278	32.3	1554	1552
candidate division TM6 bacterium GW2011_GWF2_36_131	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.06629	36.0	1070	1068
candidate division TM6 bacterium GW2011_GWF2_36_6	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.6226	36.1	580	580
candidate division TM6 bacterium GW2011_GWF2_37_49	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.487	37.0	1227	1225
candidate division TM6 bacterium GW2011_GWF2_38_10	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.05176	38.3	911	911
candidate division TM6 bacterium GW2011_GWF2_43_17	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.383874	43.4	387	387
candidate division TM6 bacterium GW2011_GWF2_43_87	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.12912	42.3	912	910
candidate division TM6 bacterium JCVI TM6SC1	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.07469	36.4	1032	860
candidate division TM6 bacterium SOIL31	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.4604	37.8	0	0
candidate division TM6 bacterium SOIL82	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.00194	40.8	0	0
candidate division TM6 bacterium UASB124	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.50439	37.7	0	0
candidate division TM6 bacterium UASB293	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.30209	38.5	0	0
candidate division TM6 bacterium UASB340	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.07847	29.4	0	0
candidate division TM6 bacterium Zodletone_IIa	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.218807	40.1	179	175
candidate division TM7 bacterium JGI 0001002-L20	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.752653	46.4	0	0
candidate division TM7 genomosp. GTL1	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.679415	48.5	824	686
candidate division TM7 single-cell isolate TM7a	Bacteria	unclassified Bacteria	Bacteria candidate phyla	2.86436	34.3	0	0
candidate division TM7 single-cell isolate TM7b	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.112753	37.0	0	0
candidate division TM7 single-cell isolate TM7c	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.474179	39.1	0	0
candidate division WOR_1 bacterium DG_54_3	Bacteria	unclassified Bacteria	Bacteria candidate phyla	3.30333	44.8	3180	2800
candidate division WOR_3 bacterium SM1_77	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.26914	45.8	1326	1170
candidate division WOR_3 bacterium SM23_42	Bacteria	unclassified Bacteria	Bacteria candidate phyla	2.53279	46.2	2359	2097
candidate division WOR_3 bacterium SM23_60	Bacteria	unclassified Bacteria	Bacteria candidate phyla	2.89568	47.4	2817	2502
candidate division WS6 bacterium 34_10	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.12756	34.2	1255	1255
candidate division WS6 bacterium 36_33	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.439774	36.7	482	482
candidate division WS6 bacterium GW2011_GWA2_37_6	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.666805	36.5	746	743
candidate division WS6 bacterium GW2011_GWB1_33_6	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.670421	32.9	664	663
candidate division WS6 bacterium GW2011_GWC1_33_20	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.652879	32.7	666	666
candidate division WS6 bacterium GW2011_GWC1_36_11	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.711267	35.7	737	737
candidate division WS6 bacterium GW2011_GWC2_36_7	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.568435	35.8	614	612
candidate division WS6 bacterium GW2011_GWD1_35_594	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.629503	33.2	652	652
candidate division WS6 bacterium GW2011_GWE1_34_7	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.549993	33.1	606	606
candidate division WS6 bacterium GW2011_GWE1_36_69	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.221551	36.0	256	256
candidate division WS6 bacterium GW2011_GWE2_33_157	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.612802	32.9	629	627
candidate division WS6 bacterium GW2011_GWF1_33_233	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.617993	32.7	640	640
candidate division WS6 bacterium GW2011_GWF1_35_23	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.3348	35.3	380	380
candidate division WS6 bacterium GW2011_GWF1_36_8	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.534556	35.8	575	575
candidate division WS6 bacterium GW2011_GWF2_33_92	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.615433	32.9	641	641
candidate division WS6 bacterium GW2011_GWF2_39_15	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.899311	38.7	884	883
candidate division WS6 bacterium GW2011_WS6_33_547	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.6174	32.7	649	649
candidate division WS6 bacterium GW2011_WS6_36_26	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.452645	35.6	510	510
candidate division WS6 bacterium OLB20	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.45939	0	1553	1507
candidate division WS6 bacterium OLB21	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.05051	0	1171	1140
candidate division WWE3 bacterium CSP1-7	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.572141	53.6	668	622
candidate division WWE3 bacterium GW2011_GWA1_41_8	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.92136	41.2	1024	1021
candidate division WWE3 bacterium GW2011_GWA1_42_12	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.864275	41.8	875	875
candidate division WWE3 bacterium GW2011_GWA1_42_46	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.755771	41.6	766	766
candidate division WWE3 bacterium GW2011_GWA1_43_94	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.891856	43.0	898	898
candidate division WWE3 bacterium GW2011_GWA1_46_21	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.432578	46.1	493	492
candidate division WWE3 bacterium GW2011_GWA2_42_9	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.620476	41.5	659	659
candidate division WWE3 bacterium GW2011_GWA2_43_24	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.856514	43.0	862	862
candidate division WWE3 bacterium GW2011_GWA2_44_16	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.366251	44.5	366	366
candidate division WWE3 bacterium GW2011_GWA2_46_9	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.325777	45.7	359	359
candidate division WWE3 bacterium GW2011_GWB1_41_6	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.938148	41.4	1058	1057
candidate division WWE3 bacterium GW2011_GWB1_42_117	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.879042	42.9	890	890
candidate division WWE3 bacterium GW2011_GWB1_42_41	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.744997	41.6	799	799
candidate division WWE3 bacterium GW2011_GWB1_42_6	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.778859	41.7	821	821
candidate division WWE3 bacterium GW2011_GWB1_44_4	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.425048	44.2	487	487
candidate division WWE3 bacterium GW2011_GWB1_47_11	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.476491	46.4	524	523
candidate division WWE3 bacterium GW2011_GWB2_43_22	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.402179	43.1	443	440
candidate division WWE3 bacterium GW2011_GWC1_41_7	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.834875	41.3	971	968
candidate division WWE3 bacterium GW2011_GWC1_42_102	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.625951	41.6	689	689
candidate division WWE3 bacterium GW2011_GWC1_44_308	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.849134	43.1	849	849
candidate division WWE3 bacterium GW2011_GWC1_47_10	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.488761	46.3	538	538
candidate division WWE3 bacterium GW2011_GWC2_41_23	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.837228	41.2	825	825
candidate division WWE3 bacterium GW2011_GWC2_44_85	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.861783	43.1	865	865
candidate division WWE3 bacterium GW2011_GWC2_44_9	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.712044	44.1	756	756
candidate division WWE3 bacterium GW2011_GWD1_42_14	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.577149	41.4	599	599
candidate division WWE3 bacterium GW2011_GWD1_42_70	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.773748	41.5	789	789
candidate division WWE3 bacterium GW2011_GWD1_43_201	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.866613	43.1	868	867
candidate division WWE3 bacterium GW2011_GWD2_42_11	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.77078	41.6	778	778
candidate division WWE3 bacterium GW2011_GWD2_42_34	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.887205	42.9	885	885
candidate division WWE3 bacterium GW2011_GWE1_41_27	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.726676	42.5	773	773
candidate division WWE3 bacterium GW2011_GWE1_41_72	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.705146	41.3	699	699
candidate division WWE3 bacterium GW2011_GWE1_42_16	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.778466	41.6	786	786
candidate division WWE3 bacterium GW2011_GWE1_44_51	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.835093	43.1	835	834
candidate division WWE3 bacterium GW2011_GWE2_42_25	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.782405	41.6	780	780
candidate division WWE3 bacterium GW2011_GWE2_43_18	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.855823	43.0	859	858
candidate division WWE3 bacterium GW2011_GWF1_41_53	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.464924	40.8	482	482
candidate division WWE3 bacterium GW2011_GWF1_42_14	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.942732	41.7	977	977
candidate division WWE3 bacterium GW2011_GWF1_42_51	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.352321	42.8	339	339
candidate division WWE3 bacterium GW2011_GWF1_44_14	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.839128	43.1	839	839
candidate division WWE3 bacterium GW2011_GWF2_41_45	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.848675	41.3	854	854
candidate division WWE3 bacterium GW2011_GWF2_42_42	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.751963	42.4	790	790
candidate division WWE3 bacterium GW2011_GWF2_43_18	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.864654	43.1	867	867
candidate division WWE3 bacterium RAAC2_WWE3_1	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.878109	43.2	919	871
candidate division Zixibacteria bacterium DG_27	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.10197	53.6	1081	961
candidate division Zixibacteria bacterium RBG-1	Bacteria	unclassified Bacteria	Bacteria candidate phyla	2.12277	41.9	1906	1906
candidate division Zixibacteria bacterium SM1_73	Bacteria	unclassified Bacteria	Bacteria candidate phyla	2.22362	44.1	2061	1833
candidate division Zixibacteria bacterium SM23_73	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.44148	43.1	1401	1235
candidate division Zixibacteria bacterium SM23_73_2	Bacteria	unclassified Bacteria	Bacteria candidate phyla	2.25506	42.5	2050	1857
candidate division Zixibacteria bacterium SM23_73_3	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.88276	45.2	1663	1494
candidate division Zixibacteria bacterium SM23_81	Bacteria	unclassified Bacteria	Bacteria candidate phyla	3.07491	52.8	2633	2298
cyanobacterium BACL30 MAG-120619-bin27	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	1.81381	63.6	2141	1670
cyanobacterium PCC 7702	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	4.90315	42.5	4207	3972
cyanobacterium endosymbiont of Epithemia turgida	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	2.79432	0	0	0
delta proteobacterium HotSeep1	Bacteria	Proteobacteria	delta/epsilon subdivisions	2.54021	37.2	2560	2503
delta proteobacterium JGI 0000059-J07	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.172	52.2	0	0
delta proteobacterium JGI 0000059-K16	Bacteria	Proteobacteria	delta/epsilon subdivisions	0.926329	52.2	0	0
delta proteobacterium JGI 0000059-O15	Bacteria	Proteobacteria	delta/epsilon subdivisions	0.545615	55.6	0	0
delta proteobacterium JGI 0002000-E07	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.52095	61.4	0	0
delta proteobacterium MLMS-1	Bacteria	Proteobacteria	delta/epsilon subdivisions	6.05891	60.1	5846	5170
delta proteobacterium NaphS2	Bacteria	Proteobacteria	delta/epsilon subdivisions	6.55472	49.8	6423	5888
delta proteobacterium PSCGC 5296	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.39445	39.1	1139	1116
delta proteobacterium PSCGC 5342	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.75707	45.9	1715	1544
delta proteobacterium PSCGC 5451	Bacteria	Proteobacteria	delta/epsilon subdivisions	2.75864	44.5	2746	2441
endosymbiont of Bathymodiolus sp.	Bacteria	Proteobacteria	Gammaproteobacteria	0.619851	38.5	645	588
endosymbiont of Llaveia axin axin	Bacteria	FCB group	Bacteroidetes/Chlorobi group	0.309299	32.7	313	260
endosymbiont of Ridgeia piscesae	Bacteria	Proteobacteria	Gammaproteobacteria	3.5108	58.9	3461	2920
endosymbiont of Riftia pachyptila	Bacteria	Proteobacteria	Gammaproteobacteria	3.48104	0	0	0
endosymbiont of Tevnia jerichonana	Bacteria	Proteobacteria	Gammaproteobacteria	3.6371	0	0	0
endosymbiont of unidentified scaly snail isolate Monju	Bacteria	Proteobacteria	Gammaproteobacteria	2.59776	65.1	2539	2343
filamentous cyanobacterium ESFC-1	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	5.63204	46.5	4911	4712
gamma proteobacterium BDW918	Bacteria	Proteobacteria	Gammaproteobacteria	4.30774	50.8	3828	3725
gamma proteobacterium HIMB30	Bacteria	Proteobacteria	Gammaproteobacteria	2.16887	49.9	2243	2181
gamma proteobacterium HIMB55	Bacteria	Proteobacteria	Gammaproteobacteria	2.73699	52.9	2501	2442
gamma proteobacterium HTCC2207	Bacteria	Proteobacteria	Gammaproteobacteria	2.63427	49.4	2367	2292
gamma proteobacterium HTCC5015	Bacteria	Proteobacteria	Gammaproteobacteria	2.62561	54.0	2441	2342
gamma proteobacterium HdN1	Bacteria	Proteobacteria	Gammaproteobacteria	4.58746	53.3	3847	3716
gamma proteobacterium IMCC1989	Bacteria	Proteobacteria	Gammaproteobacteria	3.01762	42.1	2875	2633
gamma proteobacterium IMCC2047	Bacteria	Proteobacteria	Gammaproteobacteria	2.23402	48.6	2284	2263
gamma proteobacterium IMCC3088	Bacteria	Proteobacteria	Gammaproteobacteria	3.03962	51.6	2846	2707
gamma proteobacterium L18	Bacteria	Proteobacteria	Gammaproteobacteria	6.85447	62.5	5938	5664
gamma proteobacterium NOR5-3	Bacteria	Proteobacteria	Gammaproteobacteria	4.20808	56.3	3716	3593
gamma proteobacterium SCGC AAA001-B15	Bacteria	Proteobacteria	Gammaproteobacteria	0.771017	36.9	0	0
gamma proteobacterium SCGC AAA007-O20	Bacteria	Proteobacteria	Gammaproteobacteria	1.02811	38.1	0	0
gamma proteobacterium SCGC AAA076-D02	Bacteria	Proteobacteria	Gammaproteobacteria	1.76176	37.4	0	0
gamma proteobacterium SCGC AAA076-D13	Bacteria	Proteobacteria	Gammaproteobacteria	1.66338	37.5	0	0
